State,District,Date,Year,Month,Avg_rainfall,Agency_name,source_file
Tamil Nadu,Vellore,2021-08-19,2021,8,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-08-20,2021,8,6.321612544,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-08-21,2021,8,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-08-23,2021,8,17.19968507,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-08-26,2021,8,7.440338016,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-09-01,2021,9,3.996411343,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-09-03,2021,9,10.95068009,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-09-10,2021,9,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-09-12,2021,9,0.199756757,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-09-14,2021,9,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-09-16,2021,9,0.413599902,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-09-25,2021,9,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-09-26,2021,9,28.75720381,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-10-01,2021,10,1.25820269,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-10-19,2021,10,0.265704517,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-11-02,2021,11,15.78508044,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-11-03,2021,11,13.23214162,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-11-19,2021,11,83.46065056,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-11-22,2021,11,0.415363604,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-11-26,2021,11,3.765726538,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-11-27,2021,11,30.9829684,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-12-02,2021,12,0.629100788,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-12-07,2021,12,3.073705974,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-12-18,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Vellore,2021-12-24,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-01-01,2021,1,0.250383233,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-01-08,2021,1,3.221999665,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-01-11,2021,1,1.421610603,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-01-22,2021,1,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-01-24,2021,1,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-02-02,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-02-10,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-02-12,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-02-13,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-02-16,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-03-04,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-03-10,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-03-11,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-03-27,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-03-29,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-04-01,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-04-06,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-04-11,2021,4,0.16675129,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-04-24,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-04-29,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-02,2021,5,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-05,2021,5,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-07,2021,5,0.051965751,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-10,2021,5,0.143339551,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-14,2021,5,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-15,2021,5,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-22,2021,5,12.38247695,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-25,2021,5,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-26,2021,5,27.09474575,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-30,2021,5,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-05-31,2021,5,1.334944207,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-06-06,2021,6,13.56408267,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-06-12,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-06-23,2021,6,0.002624513,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-06-30,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-04,2021,7,4.751451856,IMD GRID MODEL,2021.csv
